,Unnamed: 0,budget,popularity,encoded_rate,new spoken_languages,new cast,new production_companies,new production_countries,new crew,new genres,new keywords,revenue,runtime,vote_count
1159,1159,40000000,21.661028,2,1,1,1,1,881.2666666666667,1,4,107458785,128.0,354
1160,1160,40000000,68.794673,2,1,0,2,2,12446.192077175698,1,4,320170008,134.0,1949
1161,1161,40000000,69.27821999999999,2,1,1,3,1,41396.50203315204,1,0,224920315,120.0,3391
1162,1162,40000000,26.253357,1,1,5,1,3,437.5,3,2,177259441,129.0,959
1163,1163,45000000,32.549282,1,1,1,1,1,943.7,1,0,178262620,83.0,750
1164,1164,40000000,24.992057,1,1,1,1,1,5604.648590148589,2,1,161834276,116.0,736
1165,1165,40000000,45.769562,2,1,0,2,1,21628.79180819181,4,4,244527583,118.0,2900
1166,1166,40000000,36.301202,1,1,1,2,1,8143.300735865442,1,1,111811453,100.0,944
1167,1167,40000000,45.022964,2,5,3,2,1,4402.5812807881775,2,3,215862692,128.0,1056
1168,1168,40000000,22.853006,2,2,4,2,1,12104.648073930428,2,1,129540499,123.0,560
1169,1169,40000000,31.884559000000007,2,0,2,1,1,18030.259586466167,1,3,95020213,128.0,787
1170,1170,40000000,31.385257,2,2,6,3,1,10922.64216554839,3,7,128798265,139.0,767
1171,1171,40000000,67.767785,1,1,2,2,1,17162.68978039504,1,2,169837010,110.0,1127
1172,1172,40000000,24.287306,2,1,1,5,1,5703.227761194031,3,1,120455994,120.0,542
1173,1173,35000000,53.114573,2,1,2,1,1,19526.5,1,1,194564672,121.0,1881
1174,1174,40000000,25.136082,1,1,1,1,1,8230.077777777778,2,2,124827316,102.0,555
1175,1175,40000000,37.776566,2,2,0,1,1,3846.4448051948057,6,0,75505856,112.0,732
1176,1176,40000000,21.743321,2,1,3,1,1,7487.111111111111,2,3,124731534,152.0,467
1177,1177,40000000,66.003433,2,1,4,2,1,23093.205671032516,3,2,158733820,124.0,2691
1178,1178,40000000,24.862767,1,2,4,3,1,7033.945864661655,4,2,151161491,90.0,716
1179,1179,41000000,25.391899,1,1,2,1,1,14489.02222037222,1,1,91636986,105.0,515
1180,1180,40000000,29.854773,1,1,3,1,1,4675.389314194577,2,0,141069860,114.0,731
1181,1181,40000000,26.82041,2,2,6,1,1,10154.03209494324,3,6,205405498,189.0,502
1182,1182,40000000,17.612920000000006,1,1,0,5,1,3893.956944444444,2,3,138259062,99.0,371
1183,1183,57000000,21.021809,1,2,4,2,2,8031.037853848341,4,1,147845033,123.0,441
1184,1184,20000000,52.571674,1,1,0,1,1,12558.919853199266,1,1,136267476,102.0,1350
1185,1185,40000000,34.519636,1,1,1,1,1,3198.785714285714,2,2,196781193,109.0,1437
1186,1186,40000000,32.478077,1,1,0,1,1,3634.479365079365,2,3,186167139,82.0,831
1187,1187,40000000,48.445978,2,3,1,8,3,25360.72810898252,2,3,165478348,141.0,2583
1188,1188,40000000,24.012986,1,4,2,2,1,5332.799462365591,4,3,91753202,106.0,457
1189,1189,40000000,17.869443,1,1,1,4,1,8463.226923076923,1,1,90029656,109.0,612
1190,1190,50000000,14.231899,1,1,3,1,1,2358.481818181818,3,2,170128460,107.0,297
1191,1191,40000000,23.088571,1,4,2,2,1,6473.526731963689,5,1,54682547,110.0,511
1192,1192,40000000,19.833664,1,1,3,1,1,1531.888888888889,6,2,87840042,96.0,336
1193,1193,35000000,26.595983,2,1,1,2,1,1529.1666666666665,4,1,75395048,131.0,453
1194,1194,40000000,26.072228,2,1,5,3,1,6735.741484083716,3,0,85412898,119.0,902
1195,1195,30000000,38.643914,1,4,1,5,3,13448.460173160174,3,2,130786397,113.0,1265
1196,1196,40000000,74.440708,2,1,4,2,1,68023.9251165501,3,6,109676311,130.0,4391
1197,1197,42000000,82.185281,1,1,3,2,1,6401.466666666666,1,4,107670357,108.0,1536
1198,1198,40000000,18.14218,1,1,2,0,2,2707.916666666667,5,3,74597643,89.0,332
1199,1199,40000000,41.570047,2,1,0,2,1,12187.838383838383,4,1,120175290,139.0,1221
1200,1200,40000000,23.331459,1,7,0,2,2,7127.389574898785,3,8,191185897,130.0,440
1201,1201,40000000,47.649554,1,3,2,3,1,11759.139169101945,4,3,126248813,107.0,1206
1202,1202,0,7.519433,1,1,0,2,1,3616.690164954871,5,1,0,116.0,51
1203,1203,40000000,32.908414,1,1,2,2,1,13947.22435897436,2,9,92913171,96.0,972
1204,1204,40000000,29.88736,1,1,3,3,1,11476.598761940673,3,1,114830111,99.0,670
1205,1205,43000000,29.105407,1,1,1,2,2,17109.349787656243,4,8,91974818,104.0,573
1206,1206,0,16.394451999999998,1,2,0,1,1,225.0,4,0,51854875,105.0,386
1207,1207,40000000,19.574774,1,3,0,2,2,11190.807586273377,2,1,84601681,101.0,394
1208,1208,40000000,14.199932999999998,2,1,1,1,1,13740.650922177238,2,1,67347013,134.0,255
1209,1209,40000000,12.229516,2,1,4,1,1,3821.7954022988506,3,1,45916769,135.0,235
1210,1210,40000000,27.303608,1,1,1,3,1,26732.495198222827,2,0,141591324,98.0,629
1211,1211,36000000,3.698276,2,2,4,1,1,8794.198076923078,3,0,74000000,155.0,316
1212,1212,40000000,7.021871000000001,1,1,1,2,1,3695.3119047619048,1,1,0,106.0,114
1213,1213,40000000,39.381913,1,1,0,3,1,10997.668726434855,5,1,41797066,94.0,740
1214,1214,40000000,14.398356,1,2,0,3,1,3858.1080482241773,2,1,0,95.0,415
1215,1215,65000000,8.680334,1,1,1,2,1,1633.1379310344828,2,6,0,103.0,135
1216,1216,40000000,17.659032,1,1,1,2,1,15972.0372656755,3,1,145896422,96.0,554
1217,1217,40000000,43.151268,1,1,7,3,2,23466.261416361416,3,1,97552050,104.0,1789
1218,1218,40000000,15.283444,1,1,1,2,1,10483.25673076923,1,2,41863726,95.0,284
1219,1219,40000000,35.21926,1,1,1,1,1,3024.712121212121,2,4,97138686,111.0,902
1220,1220,40000000,25.580272,1,1,3,1,1,20256.781845238096,3,0,96618699,123.0,474
1221,1221,38000000,10.794175,2,1,1,1,1,12221.050898362044,2,8,34416893,140.0,275
1222,1222,40000000,72.641296,1,1,2,3,1,22601.95469628411,1,3,126069509,97.0,1695
1223,1223,40000000,3.415534,1,1,0,1,2,3347.4981572481574,2,2,36037909,94.0,40
1224,1224,47000000,38.555482,1,2,1,1,1,3724.5888888888885,2,2,157887643,92.0,866
1225,1225,0,6.786117,1,1,0,2,2,1029.8,3,3,0,102.0,140
1226,1226,40000000,24.313684,2,1,1,1,1,514.0,2,1,55707411,122.0,432
1227,1227,30000000,9.965073,1,3,1,1,2,9856.70374800638,3,3,50451307,103.0,182
1228,1228,40000000,15.055732,1,1,3,2,1,4441.024509803921,1,8,0,102.0,275
1229,1229,0,32.808675,1,1,6,1,1,14890.112481203008,2,0,0,116.0,1468
